OBS,PURPOSE,LUGGAGE,AGE,GENDER,TRAIN_TIME,TRAIN_COST,TRAIN_HEADWAY,SM_TIME,SM_COST,SM_HEADWAY,CAR_TIME,CAR_COST,AV_TRAIN,AV_SM,AV_CAR,CHOICE
101,1,1,1,0,177,20,60,128,23,10,1560,13,1,1,1,1
102,1,1,1,0,159,20,120,124,22,30,1560,8,1,1,1,3
103,1,1,1,0,212,20,120,128,23,20,960,8,1,1,1,3
104,1,1,1,0,177,22,120,128,24,30,960,13,1,1,1,1
105,1,1,1,0,159,22,60,128,24,20,1560,10,1,1,1,1
106,1,1,1,0,159,26,60,124,28,10,1200,8,1,1,1,2
107,1,1,1,0,159,22,120,121,25,20,1200,13,1,1,1,2
108,1,1,1,0,177,26,30,128,31,20,1200,13,1,1,1,1
109,1,1,2,0,179,31,120,96,32,30,110,30,1,1,1,2
110,1,1,2,0,137,23,120,99,27,30,143,24,1,1,1,2
111,1,1,2,0,179,23,120,103,28,20,88,24,1,1,1,3
112,1,1,2,0,151,23,60,103,28,10,143,39,1,1,1,2
113,1,1,2,0,151,26,120,103,28,30,88,39,1,1,1,2
114,1,1,2,0,137,26,60,103,28,20,143,30,1,1,1,2
115,1,1,2,0,137,31,60,99,34,10,110,24,1,1,1,2
116,1,1,2,0,137,26,120,96,30,20,110,39,1,1,1,2
117,1,1,2,0,151,31,30,103,38,20,110,39,1,1,1,2
118,1,0,5,1,108,52,30,43,62,10,70,36,1,1,1,3
119,1,0,5,1,108,52,120,39,80,10,91,58,1,1,1,1
120,1,0,5,1,108,47,30,36,71,20,91,45,1,1,1,1
121,1,0,5,1,87,47,60,36,71,30,56,58,1,1,1,1
122,1,0,5,1,94,52,30,36,65,30,91,36,1,1,1,3
123,1,0,5,1,94,47,30,39,57,10,56,45,1,1,1,1
124,1,0,5,1,94,62,60,36,71,20,56,36,1,1,1,3
125,1,0,5,1,108,62,30,39,76,30,56,58,1,1,1,3
126,1,0,5,1,94,52,60,39,80,30,70,45,1,1,1,3
127,1,1,2,1,102,54,120,49,68,20,78,50,1,1,1,2
128,1,1,2,1,95,54,30,46,63,10,78,65,1,1,1,2
129,1,1,2,1,116,54,60,53,83,30,78,40,1,1,1,1
130,1,1,2,1,95,45,30,49,70,20,48,40,1,1,1,1
131,1,1,2,1,116,40,60,49,50,20,60,65,1,1,1,2
132,1,1,2,1,102,40,120,46,63,10,60,40,1,1,1,2
133,1,1,2,1,95,54,120,53,83,10,48,50,1,1,1,1
134,1,1,2,1,95,40,30,53,52,30,60,50,1,1,1,1
135,1,1,2,1,116,45,60,46,58,10,48,50,1,1,1,2
136,1,1,3,1,179,119,120,66,139,20,182,90,1,1,1,3
137,1,1,3,1,164,99,30,66,139,20,112,72,1,1,1,3
138,1,1,3,1,164,119,30,60,128,10,182,117,1,1,1,2
139,1,1,3,1,210,119,60,74,161,30,182,72,1,1,1,2
140,1,1,3,1,210,89,60,66,106,20,140,117,1,1,1,2
141,1,1,3,1,179,89,120,60,128,10,140,72,1,1,1,2
142,1,1,3,1,164,119,120,74,161,10,112,90,1,1,1,3
143,1,1,3,1,164,89,30,74,111,30,140,90,1,1,1,3
144,1,1,3,1,210,99,60,60,123,10,112,90,1,1,1,3
145,1,0,3,1,233,74,30,77,84,10,190,44,1,1,1,2
146,1,0,3,1,233,74,120,67,104,10,247,71,1,1,1,2
147,1,0,3,1,233,67,30,59,97,20,247,55,1,1,1,2
148,1,0,3,1,177,67,60,59,97,30,152,71,1,1,1,2
149,1,0,3,1,196,74,30,59,87,30,247,44,1,1,1,2
150,1,0,3,1,196,67,30,67,77,10,152,55,1,1,1,2
151,1,0,3,1,196,89,60,59,97,20,152,44,1,1,1,2
152,1,0,3,1,233,89,30,67,100,30,152,71,1,1,1,2
153,1,0,3,1,196,74,60,67,104,30,190,55,1,1,1,2
154,1,1,3,0,110,60,120,55,65,20,91,80,1,1,1,1
155,1,1,3,0,103,60,30,52,60,10,91,104,1,1,1,2
156,1,1,3,0,124,60,60,59,80,30,91,64,1,1,1,1
157,1,1,3,0,103,50,30,55,80,20,56,64,1,1,1,1
158,1,1,3,0,124,45,60,55,60,20,70,104,1,1,1,1
159,1,1,3,0,110,45,120,52,80,10,70,64,1,1,1,2
160,1,1,3,0,103,60,120,59,80,10,56,80,1,1,1,2
161,1,1,3,0,103,45,30,59,65,30,70,80,1,1,1,1
162,1,1,3,0,124,50,60,52,65,10,56,80,1,1,1,2
163,1,1,2,1,118,60,120,46,60,30,70,27,1,1,1,2
164,1,1,2,1,97,45,120,49,60,30,91,22,1,1,1,2
165,1,1,2,1,118,45,120,53,65,20,56,22,1,1,1,2
166,1,1,2,1,104,45,60,53,65,10,91,35,1,1,1,2
167,1,1,2,1,104,50,120,53,60,30,56,35,1,1,1,2
168,1,1,2,1,97,50,60,53,60,20,91,27,1,1,1,2
169,1,1,2,1,97,60,60,49,65,10,70,22,1,1,1,2
170,1,1,2,1,97,50,120,46,65,20,70,35,1,1,1,2
171,1,1,2,1,104,60,30,53,80,20,70,35,1,1,1,2
172,1,1,3,1,182,60,120,69,65,20,182,80,1,1,1,2
173,1,1,3,1,165,60,30,63,60,10,182,104,1,1,1,2
174,1,1,3,1,215,60,60,77,80,30,182,64,1,1,1,2
175,1,1,3,1,165,50,30,69,80,20,112,64,1,1,1,2
176,1,1,3,1,215,45,60,69,60,20,140,104,1,1,1,2
177,1,1,3,1,182,45,120,63,80,10,140,64,1,1,1,2
178,1,1,3,1,165,60,120,77,80,10,112,80,1,1,1,3
179,1,1,3,1,165,45,30,77,65,30,140,80,1,1,1,2
180,1,1,3,1,215,50,60,63,65,10,112,80,1,1,1,2
181,1,1,2,0,66,2600,30,37,3120,10,50,32,1,1,1,2
182,1,1,2,0,66,2600,120,35,4160,10,65,52,1,1,1,2
183,1,1,2,0,66,2340,30,33,4160,20,65,40,1,1,1,2
184,1,1,2,0,56,2340,60,33,4160,30,40,52,1,1,1,2
185,1,1,2,0,59,2600,30,33,3380,30,65,32,1,1,1,2
186,1,1,2,0,59,2340,30,35,3120,10,40,40,1,1,1,2
187,1,1,2,0,59,3120,60,33,3120,20,40,32,1,1,1,2
188,1,1,2,0,66,3120,30,35,3380,30,40,52,1,1,1,2
189,1,1,2,0,59,2600,60,35,4160,30,50,40,1,1,1,2
190,1,1,3,1,274,2600,30,131,3120,10,210,48,1,1,1,2
191,1,1,3,1,274,2600,120,123,4160,10,273,78,1,1,1,1
192,1,1,3,1,274,2340,30,117,4160,20,273,60,1,1,1,1
193,1,1,3,1,209,2340,60,117,4160,30,168,78,1,1,1,1
194,1,1,3,1,231,2600,30,117,3380,30,273,48,1,1,1,2
195,1,1,3,1,231,2340,30,123,3120,10,168,60,1,1,1,2
196,1,1,3,1,231,3120,60,117,3120,20,168,48,1,1,1,2
197,1,1,3,1,274,3120,30,123,3380,30,168,78,1,1,1,2
198,1,1,3,1,231,2600,60,123,4160,30,210,60,1,1,1,1
199,1,1,2,1,109,2600,30,44,3120,10,90,40,1,1,1,2
200,1,1,2,1,109,2600,120,40,4160,10,117,65,1,1,1,2
201,1,1,2,1,109,2340,30,37,4160,20,117,50,1,1,1,1
202,1,1,2,1,88,2340,60,37,4160,30,72,65,1,1,1,2
203,1,1,2,1,95,2600,30,37,3380,30,117,40,1,1,1,2
204,1,1,2,1,95,2340,30,40,3120,10,72,50,1,1,1,2
205,1,1,2,1,95,3120,60,37,3120,20,72,40,1,1,1,2
206,1,1,2,1,109,3120,30,40,3380,30,72,65,1,1,1,2
207,1,1,2,1,95,2600,60,40,4160,30,90,50,1,1,1,2
208,1,1,3,1,141,3120,120,62,3120,30,90,55,1,1,1,2
209,1,1,3,1,109,2340,120,65,3120,30,117,44,1,1,1,2
210,1,1,3,1,141,2340,120,69,3380,20,72,44,1,1,1,2
211,1,1,3,1,120,2340,60,69,3380,10,117,71,1,1,1,2
212,1,1,3,1,120,2600,120,69,3120,30,72,71,1,1,1,2
213,1,1,3,1,109,2600,60,69,3120,20,117,55,1,1,1,2
214,1,1,3,1,109,3120,60,65,3380,10,90,44,1,1,1,2
215,1,1,3,1,109,2600,120,62,3380,20,90,71,1,1,1,2
216,1,1,3,1,120,3120,30,69,4160,20,90,71,1,1,1,1
217,1,1,3,1,173,2600,30,97,3120,10,90,48,1,1,1,2
218,1,1,3,1,173,2600,120,93,4160,10,117,78,1,1,1,1
219,1,1,3,1,173,2340,30,90,4160,20,117,60,1,1,1,1
220,1,1,3,1,136,2340,60,90,4160,30,72,78,1,1,1,1
221,1,1,3,1,148,2600,30,90,3380,30,117,48,1,1,1,1
222,1,1,3,1,148,2340,30,93,3120,10,72,60,1,1,1,2
223,1,1,3,1,148,3120,60,90,3120,20,72,48,1,1,1,2
224,1,1,3,1,173,3120,30,93,3380,30,72,78,1,1,1,2
225,1,1,3,1,148,2600,60,93,4160,30,90,60,1,1,1,1
226,1,1,2,1,92,3120,120,39,3380,20,78,30,1,1,1,2
227,1,1,2,1,85,3120,30,36,3120,10,78,39,1,1,1,2
228,1,1,2,1,106,3120,60,43,4160,30,78,24,1,1,1,2
229,1,1,2,1,85,2600,30,39,4160,20,48,24,1,1,1,2
230,1,1,2,1,106,2340,60,39,3120,20,60,39,1,1,1,2
231,1,1,2,1,92,2340,120,36,4160,10,60,24,1,1,1,2
232,1,1,2,1,85,3120,120,43,4160,10,48,30,1,1,1,2
233,1,1,2,1,85,2340,30,43,3380,30,60,30,1,1,1,2
234,1,1,2,1,106,2600,60,36,3380,10,48,30,1,1,1,2
235,1,1,3,1,54,3120,120,21,3120,30,40,84,1,1,1,2
236,1,1,3,1,54,2340,120,25,3380,20,32,67,1,1,1,1
237,1,1,3,1,44,2340,120,23,3120,30,52,67,1,1,1,2
238,1,1,3,1,47,2340,60,25,3380,10,52,109,1,1,1,1
239,1,1,3,1,47,2600,120,25,3120,30,32,109,1,1,1,2
240,1,1,3,1,44,2600,60,25,3120,20,52,84,1,1,1,2
241,1,1,3,1,44,3120,60,23,3380,10,40,67,1,1,1,2
242,1,1,3,1,47,3120,30,25,4160,20,40,109,1,1,1,1
243,1,1,3,1,44,2600,120,21,3380,20,40,109,1,1,1,1
244,1,1,3,1,133,2600,30,62,3120,10,75,40,1,1,1,2
245,1,1,3,1,133,2600,120,58,4160,10,97,65,1,1,1,2
246,1,1,3,1,133,2340,30,55,4160,20,97,50,1,1,1,2
247,1,1,3,1,103,2340,60,55,4160,30,60,65,1,1,1,2
248,1,1,3,1,113,2600,30,55,3380,30,97,40,1,1,1,2
249,1,1,3,1,113,2340,30,58,3120,10,60,50,1,1,1,2
250,1,1,3,1,113,3120,60,55,3120,20,60,40,1,1,1,2
251,1,1,3,1,133,3120,30,58,3380,30,60,65,1,1,1,2
252,1,1,3,1,113,2600,60,58,4160,30,75,50,1,1,1,2
253,1,1,4,1,263,3120,120,112,3120,30,150,75,1,1,1,2
254,1,1,4,1,203,2340,120,118,3120,30,195,60,1,1,1,2
255,1,1,4,1,263,2340,120,126,3380,20,120,60,1,1,1,2
256,1,1,4,1,223,2340,60,126,3380,10,195,97,1,1,1,2
257,1,1,4,1,223,2600,120,126,3120,30,120,97,1,1,1,2
258,1,1,4,1,203,2600,60,126,3120,20,195,75,1,1,1,2
259,1,1,4,1,203,3120,60,118,3380,10,150,60,1,1,1,2
260,1,1,4,1,203,2600,120,112,3380,20,150,97,1,1,1,2
261,1,1,4,1,223,3120,30,126,4160,20,150,97,1,1,1,1
262,1,1,4,1,107,2600,30,81,3120,10,90,44,1,1,1,2
263,1,1,4,1,107,2600,120,79,4160,10,117,71,1,1,1,2
264,1,1,4,1,107,2340,30,77,4160,20,117,55,1,1,1,2
265,1,1,4,1,82,2340,60,77,4160,30,72,71,1,1,1,2
266,1,1,4,1,90,2600,30,77,3380,30,117,44,1,1,1,2
267,1,1,4,1,90,2340,30,79,3120,10,72,55,1,1,1,2
268,1,1,4,1,90,3120,60,77,3120,20,72,44,1,1,1,2
269,1,1,4,1,107,3120,30,79,3380,30,72,71,1,1,1,2
270,1,1,4,1,90,2600,60,79,4160,30,90,55,1,1,1,2
271,1,3,2,1,138,3120,120,83,3380,20,104,160,1,1,1,2
272,1,3,2,1,126,3120,30,80,3120,10,104,208,1,1,1,2
273,1,3,2,1,163,3120,60,87,4160,30,104,128,1,1,1,2
274,1,3,2,1,126,2600,30,83,4160,20,64,128,1,1,1,1
275,1,3,2,1,163,2340,60,83,3120,20,80,208,1,1,1,2
276,1,3,2,1,138,2340,120,80,4160,10,80,128,1,1,1,2
277,1,3,2,1,126,3120,120,87,4160,10,64,160,1,1,1,2
278,1,3,2,1,126,2340,30,87,3380,30,80,160,1,1,1,2
279,1,3,2,1,163,2600,60,80,3380,10,64,160,1,1,1,2
280,1,1,2,0,97,218,30,39,262,10,50,28,1,1,1,2
281,1,1,2,0,97,218,120,36,349,10,65,45,1,1,1,2
282,1,1,2,0,97,196,30,34,349,20,65,35,1,1,1,1
283,1,1,2,0,79,196,60,34,349,30,40,45,1,1,1,1
284,1,1,2,0,85,218,30,34,283,30,65,28,1,1,1,2
285,1,1,2,0,85,196,30,36,262,10,40,35,1,1,1,2
286,1,1,2,0,85,262,60,34,262,20,40,28,1,1,1,2
287,1,1,2,0,97,262,30,36,283,30,40,45,1,1,1,2
288,1,1,2,0,85,218,60,36,349,30,50,35,1,1,1,2
289,1,0,3,0,257,60,120,102,60,30,160,105,1,1,1,2
290,1,0,3,0,195,45,120,108,60,30,208,84,1,1,1,2
291,1,0,3,0,257,45,120,116,65,20,128,84,1,1,1,2
292,1,0,3,0,216,45,60,116,65,10,208,136,1,1,1,2
293,1,0,3,0,216,50,120,116,60,30,128,136,1,1,1,2
294,1,0,3,0,195,50,60,116,60,20,208,105,1,1,1,2
295,1,0,3,0,195,60,60,108,65,10,160,84,1,1,1,2
296,1,0,3,0,195,50,120,102,65,20,160,136,1,1,1,2
297,1,0,3,0,216,60,30,116,80,20,160,136,1,1,1,2
298,1,1,1,1,92,179,30,34,215,10,60,24,1,1,1,2
299,1,1,1,1,92,179,120,31,286,10,78,39,1,1,1,1
300,1,1,1,1,92,161,30,29,286,20,78,30,1,1,1,1
301,1,1,1,1,74,161,60,29,286,30,48,39,1,1,1,1
302,1,1,1,1,80,179,30,29,233,30,78,24,1,1,1,1
303,1,1,1,1,80,161,30,31,215,10,48,30,1,1,1,1
304,1,1,1,1,80,215,60,29,215,20,48,24,1,1,1,2
305,1,1,1,1,92,215,30,31,233,30,48,39,1,1,1,2
306,1,1,1,1,80,179,60,31,286,30,60,30,1,1,1,1
307,1,1,3,0,292,168,120,71,168,30,190,110,1,1,1,2
308,1,1,3,0,224,126,120,80,168,30,247,88,1,1,1,2
309,1,1,3,0,292,126,120,92,182,20,152,88,1,1,1,2
310,1,1,3,0,247,126,60,92,182,10,247,143,1,1,1,2
311,1,1,3,0,247,140,120,92,168,30,152,143,1,1,1,2
312,1,1,3,0,224,140,60,92,168,20,247,110,1,1,1,2
313,1,1,3,0,224,168,60,80,182,10,190,88,1,1,1,2
314,1,1,3,0,224,140,120,71,182,20,190,143,1,1,1,2
315,1,1,3,0,247,168,30,92,224,20,190,143,1,1,1,2
316,1,1,4,1,132,259,120,54,259,30,60,45,1,1,1,3
317,1,1,4,1,102,194,120,57,259,30,78,36,1,1,1,3
318,1,1,4,1,132,194,120,61,281,20,48,36,1,1,1,3
319,1,1,4,1,112,194,60,61,281,10,78,58,1,1,1,3
320,1,1,4,1,112,216,120,61,259,30,48,58,1,1,1,3
321,1,1,4,1,102,216,60,61,259,20,78,45,1,1,1,3
322,1,1,4,1,102,259,60,57,281,10,60,36,1,1,1,3
323,1,1,4,1,102,216,120,54,281,20,60,58,1,1,1,3
324,1,1,4,1,112,259,30,61,346,20,60,58,1,1,1,3
325,1,1,3,0,240,20,120,84,20,30,160,115,1,1,1,2
326,1,1,3,0,185,15,120,90,20,30,208,92,1,1,1,2
327,1,1,3,0,240,15,120,98,22,20,128,92,1,1,1,2
328,1,1,3,0,203,15,60,98,22,10,208,149,1,1,1,2
329,1,1,3,0,203,17,120,98,20,30,128,149,1,1,1,2
330,1,1,3,0,185,17,60,98,20,20,208,115,1,1,1,2
331,1,1,3,0,185,20,60,90,22,10,160,92,1,1,1,2
332,1,1,3,0,185,17,120,84,22,20,160,149,1,1,1,2
333,1,1,3,0,203,20,30,98,27,20,160,149,1,1,1,2
334,1,1,2,0,186,81,30,123,84,10,210,88,1,1,1,2
335,1,1,2,0,186,81,120,119,92,10,273,143,1,1,1,2
336,1,1,2,0,186,73,30,116,88,20,273,110,1,1,1,2
337,1,1,2,0,165,73,60,116,88,30,168,143,1,1,1,2
338,1,1,2,0,172,81,30,116,88,30,273,88,1,1,1,2
339,1,1,2,0,172,73,30,119,81,10,168,110,1,1,1,2
340,1,1,2,0,172,97,60,116,97,20,168,88,1,1,1,2
341,1,1,2,0,186,97,30,119,99,30,168,143,1,1,1,2
342,1,1,2,0,172,81,60,119,92,30,210,110,1,1,1,2
343,1,1,3,0,120,50,120,67,65,20,78,35,1,1,1,2
344,1,1,3,0,141,50,60,71,74,30,78,28,1,1,1,1
345,1,1,3,0,109,50,30,64,60,10,78,45,1,1,1,2
346,1,1,3,0,109,42,30,67,65,20,48,28,1,1,1,2
347,1,1,3,0,141,38,60,67,46,20,60,45,1,1,1,2
348,1,1,3,0,120,38,120,64,58,10,60,28,1,1,1,1
349,1,1,3,0,109,50,120,71,74,10,48,35,1,1,1,1
350,1,1,3,0,109,38,30,71,48,30,60,35,1,1,1,1
351,1,1,3,0,141,42,60,64,54,10,48,35,1,1,1,2
352,1,1,3,1,113,60,30,48,71,10,80,40,1,1,1,2
353,1,1,3,1,113,60,120,44,84,10,104,65,1,1,1,1
354,1,1,3,1,113,54,30,41,78,20,104,50,1,1,1,2
355,1,1,3,1,92,54,60,41,78,30,64,65,1,1,1,2
356,1,1,3,1,99,60,30,41,74,30,104,40,1,1,1,2
357,1,1,3,1,99,54,30,44,65,10,64,50,1,1,1,2
358,1,1,3,1,99,72,60,41,78,20,64,40,1,1,1,2
359,1,1,3,1,113,72,30,44,84,30,64,65,1,1,1,2
360,1,1,3,1,99,60,60,44,84,30,80,50,1,1,1,2
361,1,0,4,1,215,84,30,79,97,10,140,72,1,1,1,2
362,1,0,4,1,215,76,30,65,109,20,182,90,1,1,1,2
363,1,0,4,1,215,84,120,71,118,10,182,117,1,1,1,2
364,1,0,4,1,169,76,60,65,109,30,112,117,1,1,1,2
365,1,0,4,1,184,84,30,65,105,30,182,72,1,1,1,2
366,1,0,4,1,184,76,30,71,90,10,112,90,1,1,1,2
367,1,0,4,1,184,101,60,65,109,20,112,72,1,1,1,2
368,1,0,4,1,215,101,30,71,118,30,112,117,1,1,1,2
369,1,0,4,1,184,84,60,71,118,30,140,90,1,1,1,2
370,1,1,2,0,206,71,30,122,78,10,135,56,1,1,1,2
371,1,1,2,0,206,71,120,118,92,10,175,91,1,1,1,2
372,1,1,2,0,206,64,30,115,84,20,175,70,1,1,1,2
373,1,1,2,0,157,64,60,115,84,30,108,91,1,1,1,2
374,1,1,2,0,173,71,30,115,81,30,175,56,1,1,1,2
375,1,1,2,0,173,64,30,118,74,10,108,70,1,1,1,2
376,1,1,2,0,173,85,60,115,88,20,108,56,1,1,1,2
377,1,1,2,0,206,85,30,118,92,30,108,91,1,1,1,2
378,1,1,2,0,173,71,60,118,92,30,135,70,1,1,1,2
379,1,1,2,1,140,78,120,62,84,30,90,60,1,1,1,2
380,1,1,2,1,110,58,120,65,68,30,117,48,1,1,1,2
381,1,1,2,1,140,58,120,69,74,20,72,48,1,1,1,2
382,1,1,2,1,120,58,60,69,74,10,117,78,1,1,1,2
383,1,1,2,1,120,65,120,69,74,30,72,78,1,1,1,2
384,1,1,2,1,110,65,60,69,74,20,117,60,1,1,1,2
385,1,1,2,1,110,78,60,65,88,10,90,48,1,1,1,1
386,1,1,2,1,110,65,120,62,78,20,90,78,1,1,1,2
387,1,1,2,1,120,78,30,69,99,20,90,78,1,1,1,2
388,1,1,2,1,147,50,120,70,58,30,60,35,1,1,1,2
389,1,1,2,1,116,38,120,73,44,30,78,28,1,1,1,3
390,1,1,2,1,147,38,120,77,48,20,48,28,1,1,1,3
391,1,1,2,1,126,38,60,77,48,10,78,45,1,1,1,2
392,1,1,2,1,126,42,120,77,48,30,48,45,1,1,1,2
393,1,1,2,1,116,42,60,77,48,20,78,35,1,1,1,3
394,1,1,2,1,116,50,60,73,60,10,60,28,1,1,1,3
395,1,1,2,1,116,42,120,70,53,20,60,45,1,1,1,3
396,1,1,2,1,126,50,30,77,71,20,60,45,1,1,1,3
397,1,1,2,1,202,110,120,113,112,30,150,240,1,1,1,2
398,1,1,2,1,202,83,120,120,94,20,120,192,1,1,1,2
